,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,Yrs_Starter,wAV,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Uni,draft_year,mAV
1637,6,191,CAR,Jerry Colquitt,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tennessee,1995,0.0
1643,6,197,SDG,Craig Whelihan,QB,24,1998,0,0,1,1,19,267,557,3160,14,29,31,67,0,Pacific,1995,0.047619047619047616
1659,7,213,CIN,John Walsh,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BYU,1995,0.0
1737,2,42,STL,Tony Banks,QB,23,2005,0,0,5,43,96,1278,2356,15315,77,73,246,881,6,Michigan St.,1996,0.9309708246551183
1780,3,85,PHI,Bobby Hoying,QB,23,2000,0,0,1,3,22,244,456,2544,11,15,42,156,0,Ohio St.,1996,0.15571636745193965
1795,4,100,DEN,Jeff Lewis,QB,23,2000,0,0,0,2,12,28,54,210,0,2,21,78,0,Northern Arizona,1996,0.1640997649995764
1825,4,130,NYG,Danny Kanell,QB,22,2003,0,0,2,14,43,491,956,5129,31,34,44,49,0,Florida St.,1996,0.5274012187336465
1898,6,203,PIT,Spence Fischer,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke,1996,0.0
1900,6,205,IND,Mike Cawley,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Madison,1996,0.0
1933,7,238,BAL,Jon Stark,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0.0
1935,7,240,GNB,Kyle Wachholtz,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USC,1996,0.0
1975,1,26,SFO,Jim Druckenmiller,QB,24,1998,0,0,0,1,6,21,52,239,1,4,13,-10,0,Virginia Tech,1997,0.125
1991,2,42,ARI,Jake Plummer,QB,22,2006,0,1,10,77,143,2484,4350,29253,161,161,428,1853,17,Arizona St.,1997,1.2659625776967396
2048,4,99,NOR,Danny Wuerffel,QB,23,2002,0,0,0,6,25,184,350,2123,12,22,31,189,1,Florida,1997,0.31799312913450123
2059,4,110,KAN,Pat Barnes,QB,22,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,California,1997,0.0
2120,6,171,NYG,Mike Cherry,QB,23,1998,0,0,0,0,2,0,1,0,0,0,4,-5,0,Murray St.,1997,0.0
2140,6,191,NYJ,Chuck Clements,QB,23,1997,0,0,0,0,1,0,0,0,0,0,2,-3,0,Houston,1997,0.0
2153,7,204,ATL,Tony Graziani,QB,23,1999,0,0,0,3,18,85,174,999,2,8,16,51,0,Oregon,1997,0.1868596409423276
2156,7,207,PHI,Koy Detmer,QB,24,2006,0,0,0,4,103,184,354,1944,10,14,31,30,1,Colorado,1997,0.05026696802944359
2183,7,234,BAL,Wally Richardson,QB,23,1998,0,0,0,0,1,1,2,1,0,0,1,0,0,Penn St.,1997,0.0
2186,7,237,SDG,Tony Corbin,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sacramento St.,1997,0.0
2189,7,240,GNB,Ron McAda,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Army,1997,0.0
