,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,Yrs_Starter,wAV,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Uni,draft_year,mAV
8100,3,67,HOU,Davis Mills,QB,22,2023,0,0,2,15,34,573,912,5955,35,25,52,161,2,Stanford,2021,0.7161549698281161
8166,4,133,NOR,Ian Book,QB,23,2021,0,0,0,0,1,12,20,135,0,2,3,6,0,Notre Dame,2021,0.0
8251,6,218,IND,Sam Ehlinger,QB,22,2023,0,0,0,2,8,64,101,573,3,3,20,96,0,Texas,2021,0.22973967099940698
8312,1,20,PIT,Kenny Pickett,QB,24,2023,0,0,1,13,25,446,713,4474,13,13,97,291,4,Pittsburgh,2022,0.8042077585315752
8366,3,74,ATL,Desmond Ridder,QB,23,2023,0,0,0,12,19,322,503,3544,14,12,69,257,5,Cincinnati,2022,0.9392867597241289
8378,3,86,TEN,Malik Willis,QB,23,2023,0,0,0,1,11,35,66,350,0,3,32,144,1,Liberty,2022,0.07692307692307693
8386,3,94,CAR,Matt Corral,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mississippi,2022,0.0
8429,4,137,NWE,Bailey Zappe,QB,23,2023,0,0,0,2,14,192,304,2053,11,12,27,83,1,Western Kentucky,2022,0.14358729437462936
8436,5,144,WAS,Sam Howell,QB,21,2023,0,0,0,12,18,399,631,4115,22,22,53,298,6,North Carolina,2022,0.9862510977103354
8533,7,241,PIT,Chris Oladokun,QB,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Dakota St.,2022,0.0
8539,7,247,MIA,Skylar Thompson,QB,25,2022,0,0,0,2,7,60,105,534,1,3,14,21,0,Kansas St.,2022,0.2552663011104522
8554,7,262,SFO,Brock Purdy,QB,22,2023,0,1,0,24,25,422,614,5654,44,15,61,157,3,Iowa St.,2022,1.678377797857603
8555,1,1,CAR,Bryce Young,QB,22,2023,0,0,0,6,16,315,527,2877,11,10,39,253,0,Alabama,2023,0.4769896937017518
8556,1,2,HOU,C.J. Stroud,QB,21,2023,0,1,0,14,15,319,499,4108,23,5,39,167,3,Ohio St.,2023,1.3960620495890643
8558,1,4,IND,Anthony Richardson,QB,21,2023,0,0,0,3,4,50,84,577,3,1,25,136,4,Florida,2023,0.6228654698077586
8587,2,33,TEN,Will Levis,QB,24,2023,0,0,0,6,9,149,255,1808,8,4,25,57,1,Kentucky,2023,0.7805285896937757
8622,3,68,DET,Hendon Hooker,QB,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tennessee,2023,0.0
8681,4,127,NOR,Jake Haener,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresno St.,2023,0.0
8682,4,128,LAR,Stetson Bennett,QB,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,2023,0.0
8689,4,135,LVR,Aidan O'Connell,QB,25,2023,0,0,0,6,11,213,343,2218,12,7,17,11,1,Purdue,2023,0.6604472682024256
8693,5,139,ARI,Clayton Tune,QB,24,2023,0,0,0,0,7,12,21,62,0,2,8,30,1,Houston,2023,0.0
8694,5,140,CLE,Dorian Thompson-Robinson,QB,23,2023,0,0,0,1,8,60,112,440,1,4,14,65,0,UCLA,2023,0.1
8703,5,149,GNB,Sean Clifford,QB,25,2023,0,0,0,0,2,1,1,37,0,0,3,-2,0,Penn St.,2023,0.0
8718,5,164,MIN,Jaren Hall,QB,25,2023,0,0,0,1,3,13,20,168,0,1,6,14,0,BYU,2023,0.2
8742,6,188,PHI,Tanner McKee,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanford,2023,0.0
8793,7,239,LAC,Max Duggan,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCU,2023,0.0
